Index,Title,Category,New Category,Reference Number,Maker/Artist,Materials,Measurements,Time Period,FINAL,Additional Information,Image Link
11,Purple Quietness,Paintings,Physical Art,465,Bela Czobel,Oil,71.00 x 61.00 cm,1930s,1930,painting; still life; flowers; vase,https://artcrimes.fbi.gov/nsaf/purple-quietness/PurpleQuietness.gif/@@images/image/thumb
12,Buddhist Images,Paintings,Physical Art,356,China,Ink on paper,125.00 x 57.00 cm,960-1279,1120,painting; Asian; figure; sitting; crown; Buddhism; unsigned,https://artcrimes.fbi.gov/nsaf/buddhist-images/BuddhistImages.gif/@@images/image/thumb
13,Golf Landscape,Paintings,Physical Art,646,Leroy Neiman,Oil on board,6 3/8 x 7 1/2 in,1991,1991,"painting; golf; men; sand; trees; Signed ""LeRoy Neiman '91"" lower left",https://artcrimes.fbi.gov/nsaf/golf-landscape/GolfLandscape.gif/@@images/image/thumb
14,Qvinti Horatii Flacci opera (b),Other - Assorted,Miscellaneous,895,Horace (author),,23 cm,1733-1737,1735,No Image Associated with this Item; Place of publication,https://artcrimes.fbi.gov/nsaf/qvinti-horatii-flacci-opera-b/seal-fbi.jpg/@@images/image/thumb
15,Mystic Garden (Jardin Mistico),Paintings,Physical Art,463,,Oil on canvas,"83"" x 68.5""",18th Century,1761,,https://artcrimes.fbi.gov/nsaf/mystic-garden-jardin-mistico/MysticGardenJardinMistico.jpg/@@images/image/thumb
16,"Large Rutile Quartz Beehive Brooch, Quartz, Jade and Diamond",Brooches and Pins,Accessories,911,Zadora Limited,Quartz; jade; white diamond; 18kt gold; canary diamond,,20th Century,1990,"""Zadora"" signature and possible engraved goldsmith initials. No image associated with this item",https://artcrimes.fbi.gov/nsaf/large-rutile-quartz-beehive-brooch-quartz-jade-and-diamond/seal-fbi.jpg/@@images/image/thumb
17,Woman Sweeping a Porch,Paintings,Physical Art,730,Fernand de Braekeleer,Oil on wood,30 x 23 in,1810,1810,painting; woman; porch; broom; Nameplate on front and signed Fernand de Braekeleer,https://artcrimes.fbi.gov/nsaf/woman-sweeping-a-porch/WomanSweepingAPorch.gif/@@images/image/thumb
18,San Francisco,Paintings,Physical Art,769,Charles Fazzino,Oil on canvas acrylic,20 x 18 in,20th Century,1921,"painting; cityscape; San Francisco, California; Golden Gate Bridge; cable car; people; ""Fazzino"" lower right",https://artcrimes.fbi.gov/nsaf/san-francisco/SanFrancisco.gif/@@images/image/thumb
19,Navaho Blanket Cylinder,Sculpture,Figures,872,Dale Chihuly,Glass,7 x 4 in,,,Sculpture,https://artcrimes.fbi.gov/nsaf/navaho-blanket-cylinder/NavahoBlanketCylinder.jpg/@@images/image/thumb
20,Marie-Jose en robe jaune,Print,Physical Art,286,Henri Matisse,Paper/Lithograph,21 x 16 inches (image); 33 x 26 inches (framed),1950,1950,Number 64 of an edition of 100,https://artcrimes.fbi.gov/nsaf/marie-jose-en-robe-jaune/Marie-JoseRobejaune.jpeg/@@images/image/thumb
21,Evening Harbor Scene,Paintings,Physical Art,722,James Gale Tyler,Oil on canvas,36 x 24 in,,,painting; seascape; harbor; boats,https://artcrimes.fbi.gov/nsaf/evening-harbor-scene/EveningHarborScene.gif/@@images/image/thumb
